B,T,Mal,Fre,Op,Total
390,450,4.49332,0.00099526,0.000144107,4.49446
410,490,4.48284,0.00106419,0.000162955,4.48407
300,100,0.093673,0.000305622,3.3421e-05,0.094012
370,280,4.49177,0.000626164,8.5232e-05,4.49248
400,290,4.4914,0.000649546,9.672e-05,4.49215
500,450,4.52158,0.00114825,0.000181941,4.52291
460,70,4.49451,0.000268859,3.2205e-05,4.49481
460,310,4.49899,0.000884907,0.000111093,4.49998
250,300,4.48802,0.00041091,6.2887e-05,4.48849
480,180,4.50995,0.000466299,7.1216e-05,4.51049
370,110,4.50979,0.000315396,3.3476e-05,4.51014
320,230,4.50012,0.000421095,6.1644e-05,4.5006
420,200,4.48583,0.000443676,6.9489e-05,4.48635
180,310,4.50077,0.00035167,4.8264e-05,4.50117
40,80,4.46647,0.000161375,2.9957e-05,4.46666
390,100,4.48388,0.000298312,3.3684e-05,4.48421
320,60,4.51133,0.000225061,3.2325e-05,4.51159
490,90,4.50909,0.000394395,3.8751e-05,4.50952
290,190,4.48334,0.000354664,4.8012e-05,4.48374
330,460,4.52529,0.00089239,0.000125387,4.5263
220,290,4.50474,0.000381289,5.4206e-05,4.50518
200,410,0.09126,0.000563253,7.0917e-05,0.0918942
450,470,4.4784,0.00116764,0.0001637,4.47973
230,90,4.49197,0.000253649,2.9665e-05,4.49225
160,110,4.46723,0.00020441,3.013e-05,4.46746
190,440,0.0905192,0.000445081,7.1837e-05,0.0910362
440,180,4.49308,0.000434465,6.5946e-05,4.49358
220,30,4.45781,0.000179598,3.0357e-05,4.45802
440,90,4.48832,0.000286047,3.7734e-05,4.48864
390,260,4.53,0.000636735,8.4959e-05,4.53072
270,210,4.4844,0.000357749,4.9056e-05,4.48481
80,370,4.50432,0.000256635,3.0041e-05,4.5046
160,470,4.48858,0.000410891,6.3033e-05,4.48906
150,510,4.49154,0.000450296,5.7115e-05,4.49205
290,310,4.52951,0.000573027,7.5141e-05,4.53016
440,390,4.49198,0.00095042,0.000141433,4.49307
490,400,4.49004,0.00103818,0.000156451,4.49123
130,310,4.51937,0.000287765,3.7939e-05,4.5197
500,330,4.53035,0.000949991,0.000135648,4.53144
280,210,4.47931,0.000358267,4.9732e-05,4.47972
370,370,4.51188,0.000856774,0.000113315,4.51286
360,90,4.50541,0.000272641,3.2605e-05,4.50572
190,410,0.0947438,0.00115583,6.6174e-05,0.0959658
290,80,4.48349,0.00023991,3.2436e-05,4.48376
270,170,4.50016,0.000319996,4.1524e-05,4.50052
